黄绿大杂烩福利_1,#genre#
-凤凰中文,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzw.flv
-凤凰资讯,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhzx.flv
-凤凰香港,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_fhxg.flv
-中天亚洲,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztyz.flv
-中天综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztzh.flv
-中天新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ztxw.flv
-翡翠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_jade.flv
-无线新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_wxxw.flv
-明珠台,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mz.flv
-viuTV,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_viu.flv
-viuTV6,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_viutv6.flv
-tvbplus,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_j2.flv
-HOY77,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy77.flv
-HOY78,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_hoy78.flv
-娱乐新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ylxw.flv
-now新闻,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_nowxw.flv
-重温经典,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_cwjd.flv
-民视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ms.flv
-民视第一,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_msdy.flv
-民视台湾,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mstw.flv?token=fd867e515d4ccd30f3821c3ea9db0502
-台视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_ts.flv
-中视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_zs.flv
-美亚电影,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_mydy.flv
-东森超视,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_dscs.flv
-东森综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_dszh.flv
-八大第一,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bddy.flv
-八大综合,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_bdzh.flv
-爱尔达娱乐,http://push-rtmp-hs-spe-f5.douyincdn.com/live/awei_aedyl.flv
重庆卫视高清,http://guany.myds.me:25852/udp/233.50.201.143:5140
河南卫视高清,http://guany.myds.me:25852/udp/233.50.201.144:5140
东南卫视高清,http://guany.myds.me:25852/udp/233.50.201.146:5140
无忧渡_第01集,https://v.cdnlz12.com/20250412/20916_1f387920/index.m3u8
无忧渡_第02集,https://v.cdnlz12.com/20250412/20920_fa5355f8/index.m3u8
无忧渡_第03集,https://v.cdnlz12.com/20250412/20921_e0bc5d6c/index.m3u8
无忧渡_第04集,https://v.cdnlz12.com/20250412/20919_40777f12/index.m3u8
无忧渡_第05集,https://v.cdnlz12.com/20250412/20918_c95face8/index.m3u8
无忧渡_第06集,https://v.cdnlz12.com/20250412/20917_d86fed49/index.m3u8
无忧渡_第07集,https://v.cdnlz12.com/20250413/21008_b45e36cb/index.m3u8
无忧渡_第08集,https://v.cdnlz12.com/20250413/21007_1de59dc8/index.m3u8
无忧渡_第9集,https://v.cdnlz12.com/20250414/21044_de4456ac/index.m3u8
无忧渡_第10集,https://v.cdnlz12.com/20250414/21043_6008c248/index.m3u8
无忧渡_第11集,https://v.cdnlz12.com/20250415/21110_3327cc57/index.m3u8
无忧渡_第12集,https://v.cdnlz12.com/20250415/21109_bd21143d/index.m3u8
无忧渡_第13集,https://v.cdnlz12.com/20250416/21159_7b57eae9/index.m3u8
无忧渡_第14集,https://v.cdnlz12.com/20250416/21158_49b4789b/index.m3u8
无忧渡_第15集,https://v.cdnlz12.com/20250417/21238_370a6ce5/index.m3u8
无忧渡_第16集,https://v.cdnlz12.com/20250417/21239_946d2378/index.m3u8
无忧渡_第17集,https://v.cdnlz12.com/20250418/21314_1d9c975b/index.m3u8
无忧渡_第18集,https://v.cdnlz12.com/20250418/21313_90bf3eea/index.m3u8
无忧渡_第19集,https://v.cdnlz12.com/20250419/21378_d216f389/index.m3u8
无忧渡_第20集,https://v.cdnlz12.com/20250419/21377_3befe05c/index.m3u8
无忧渡_第21集,https://v.cdnlz12.com/20250420/21418_70b75f1e/index.m3u8
无忧渡_第22集,https://v.cdnlz12.com/20250420/21417_9504bcb6/index.m3u8
无忧渡_第23集,https://v.cdnlz12.com/20250421/21451_b064606a/index.m3u8
无忧渡_第24集,https://v.cdnlz12.com/20250421/21450_4612b551/index.m3u8
借命而生_第01集,https://v.cdnlz12.com/20250418/21321_65e949c9/index.m3u8
借命而生_第02集,https://v.cdnlz12.com/20250418/21322_7cdc1c55/index.m3u8
借命而生_第03集,https://v.cdnlz12.com/20250418/21323_5e9cb241/index.m3u8
借命而生_第04集,https://v.cdnlz12.com/20250419/21385_b25737e0/index.m3u8
借命而生_第05集,https://v.cdnlz12.com/20250419/21384_a40f088c/index.m3u8
借命而生_第06集,https://v.cdnlz12.com/20250420/21424_6c7de0c5/index.m3u8
借命而生_第07集,https://v.cdnlz12.com/20250420/21423_8a8b08b6/index.m3u8
借命而生_第08集,https://v.cdnlz12.com/20250421/21454_efb29b5f/index.m3u8
铁血大旗门国语_第01集,https://v.cdnlz17.com/20231011/29105_0503e271/index.m3u8
铁血大旗门国语_第02集,https://v.cdnlz17.com/20231011/29109_7e719a48/index.m3u8
铁血大旗门国语_第03集,https://v.cdnlz17.com/20231011/29108_8e6a82ba/index.m3u8
铁血大旗门国语_第04集,https://v.cdnlz17.com/20231011/29110_7f2c6270/index.m3u8
铁血大旗门国语_第05集,https://v.cdnlz17.com/20231011/29112_f0d4f5a0/index.m3u8
铁血大旗门国语_第06集,https://v.cdnlz17.com/20231011/29111_a0c36eb1/index.m3u8
铁血大旗门国语_第07集,https://v.cdnlz17.com/20231011/29113_9063b29b/index.m3u8
铁血大旗门国语_第08集,https://v.cdnlz17.com/20231011/29114_a4c4aa24/index.m3u8
铁血大旗门国语_第09集,https://v.cdnlz17.com/20231011/29115_d72f76e4/index.m3u8
铁血大旗门国语_第10集,https://v.cdnlz17.com/20231011/29116_1ed6b753/index.m3u8
铁血大旗门国语_第11集,https://v.cdnlz17.com/20231011/29117_16e5b971/index.m3u8
铁血大旗门国语_第12集,https://v.cdnlz17.com/20231011/29118_ef1689a1/index.m3u8
铁血大旗门国语_第13集,https://v.cdnlz17.com/20231011/29119_bc94d6ba/index.m3u8
铁血大旗门国语_第14集,https://v.cdnlz17.com/20231011/29121_1cd7c2aa/index.m3u8
铁血大旗门国语_第15集,https://v.cdnlz17.com/20231011/29120_c565e5bf/index.m3u8
铁血大旗门国语_第16集,https://v.cdnlz17.com/20231011/29124_21ffda0b/index.m3u8
铁血大旗门国语_第17集,https://v.cdnlz17.com/20231011/29122_7b95d6ce/index.m3u8
铁血大旗门国语_第18集,https://v.cdnlz17.com/20231011/29125_2fde5c4e/index.m3u8
铁血大旗门国语_第19集,https://v.cdnlz17.com/20231011/29123_f6c86cd8/index.m3u8
铁血大旗门国语_第20集,https://v.cdnlz17.com/20231011/29127_8867f7f0/index.m3u8
铁血大旗门国语_第21集,https://v.cdnlz17.com/20231011/29126_4cc7a0d7/index.m3u8
孤城客国语_第01集,https://v.lzcdn26.com/20250223/10531_310eb756/index.m3u8
孤城客国语_第02集,https://v.lzcdn26.com/20250223/10532_448f2cac/index.m3u8
孤城客国语_第03集,https://v.lzcdn26.com/20250223/10533_8b2eca0a/index.m3u8
孤城客国语_第04集,https://v.lzcdn26.com/20250223/10534_c22465d0/index.m3u8
孤城客国语_第05集,https://v.lzcdn26.com/20250223/10535_c300deb9/index.m3u8
孤城客国语_第06集,https://v.lzcdn26.com/20250223/10536_c1979944/index.m3u8
孤城客国语_第07集,https://v.lzcdn26.com/20250223/10537_125687b2/index.m3u8
孤城客国语_第08集,https://v.lzcdn26.com/20250223/10538_060e6e64/index.m3u8
孤城客国语_第09集,https://v.lzcdn26.com/20250223/10539_1f3dd8c7/index.m3u8
孤城客国语_第10集,https://v.lzcdn26.com/20250223/10540_ff8ea717/index.m3u8
孤城客国语_第11集,https://v.lzcdn26.com/20250223/10541_483a1675/index.m3u8
孤城客国语_第12集,https://v.lzcdn26.com/20250223/10542_4a51f8ab/index.m3u8
孤城客国语_第13集,https://v.lzcdn26.com/20250223/10543_e33967d2/index.m3u8
孤城客国语_第14集,https://v.lzcdn26.com/20250223/10544_271e17be/index.m3u8
孤城客国语_第15集,https://v.lzcdn26.com/20250223/10545_42757ab1/index.m3u8
孤城客国语_第16集,https://v.lzcdn26.com/20250223/10546_55793a4d/index.m3u8
孤城客国语_第17集,https://v.lzcdn26.com/20250223/10547_5ae1dc5e/index.m3u8
孤城客国语_第18集,https://v.lzcdn26.com/20250223/10548_1772ec08/index.m3u8
孤城客国语_第19集,https://v.lzcdn26.com/20250223/10549_4ca7f74d/index.m3u8
孤城客国语_第20集,https://v.lzcdn26.com/20250223/10550_2b722efe/index.m3u8
孤城客粤语_第01集,https://v.lzcdn24.com/20250223/20448_c2b
DJ音乐01,https://vd3.bdstatic.com/mda-nda3jnm5kjr0pzkk/480p/h264_delogo/1649645090089685317/mda-nda3jnm5kjr0pzkk.mp4
DJ音乐02,https://vd4.bdstatic.com/mda-ndc2akp3ve971zsx/480p/h264_delogo/1649813962979142773/mda-ndc2akp3ve971zsx.mp4
DJ音乐03,https://vd3.bdstatic.com/mda-ndd2kbfrvgzzt5zc/480p/h264_delogo/1649901097405881759/mda-ndd2kbfrvgzzt5zc.mp4
DJ音乐04,https://vd4.bdstatic.com/mda-ndec79cmtjbdznfb/480p/h264_delogo/1650012233317163165/mda-ndec79cmtjbdznfb.mp4
DJ音乐05,https://vd4.bdstatic.com/mda-ndhdtit37qtisjda/480p/h264_delogo/1650275228081595455/mda-ndhdtit37qtisjda.mp4
DJ音乐06,https://vd3.bdstatic.com/mda-ndd3yrxmmfyci3b9/480p/h264_delogo/1649904694120096435/mda-ndd3yrxmmfyci3b9.mp4
DJ音乐07,https://vd3.bdstatic.com/mda-ndf2e5d2bsgftwrt/480p/h264_delogo/1650073422791087790/mda-ndf2e5d2bsgftwrt.mp4
DJ音乐08,https://vd2.bdstatic.com/mda-ncn28jk4b66yj318/480p/h264_delogo/1647999428356973409/mda-ncn28jk4b66yj318.mp4
DJ音乐09,https://vd3.bdstatic.com/mda-nd53ytstfqsu5qr5/480p/h264_delogo/1649214359850036018/mda-nd53ytstfqsu5qr5.mp4
DJ音乐10,https://vd2.bdstatic.com/mda-nd44sygreax18jk5/480p/h264_delogo/1649130017612498270/mda-nd44sygreax18jk5.mp4
DJ音乐11,https://vd2.bdstatic.com/mda-ndd0byuyrw19vv2g/480p/h264_delogo/1649895616476076795/mda-ndd0byuyrw19vv2g.mp4
DJ音乐12,https://vd4.bdstatic.com/mda-nda2b774z37ig4yh/480p/h264_delogo/1649641534392565187/mda-nda2b774z37ig4yh.mp4
DJ音乐13,https://vd2.bdstatic.com/mda-nde1zha2ickju5ui/480p/h264_delogo/1649986202699266753/mda-nde1zha2ickju5ui.mp4
DJ音乐14,https://vd2.bdstatic.com/mda-nde83jtsrx9345ai/480p/h264_delogo/1650001792789333244/mda-nde83jtsrx9345ai.mp4
DJ音乐15,https://vd3.bdstatic.com/mda-ndd9pwn5djrh80tn/480p/h264_delogo/1649919370531344965/mda-ndd9pwn5djrh80tn.mp4
DJ音乐16,https://vd3.bdstatic.com/mda-nde286gfshg88ehj/480p/h264_delogo/1649986845621209556/mda-nde286gfshg88ehj.mp4
DJ音乐17,https://vd2.bdstatic.com/mda-nde3tgqcpn6ybmzi/480p/h264_delogo/1649990812107105473/mda-nde3tgqcpn6ybmzi.mp4
DJ音乐18,https://vd4.bdstatic.com/mda-nd94mmwgi7n5yjuq/480p/h264_delogo/1649560996209064951/mda-nd94mmwgi7n5yjuq.mp4
DJ音乐19,https://vd2.bdstatic.com/mda-ndh1zq5t0ch5v0ai/480p/h264_delogo/1650245390711418844/mda-ndh1zq5t0ch5v0ai.mp4
DJ音乐20,https://vd3.bdstatic.com/mda-nd6efub0q87grqqi/480p/h264_delogo/1649326957736508274/mda-nd6efub0q87grqqi.mp4
DJ音乐21,https://vd2.bdstatic.com/mda-nd1504ikeuhvz01a/480p/h264_delogo/1648871675027565108/mda-nd1504ikeuhvz01a.mp4
